"","isl_pkc","ship_pkc","isl_exp","ship_exp","isl_blc","ship_blc","both_pkc","both_exp","both_blc","choice","expert"
"1","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"2","2.50","1.50","7","8","1.00","1.00","2.00","7.50","1.00",1,1
"3","1.50","3.00","9","8","1.00","1.00","2.25","8.50","1.00",1,1
"4","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"5","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"6","1.00","1.00","8","8","1.00","1.00","1.00","8.00","1.00",1,1
"7","1.00","1.00","1","9","1.00","1.00","1.00","5.00","1.00",1,1
"8","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"9","1.00","1.00","9","8","1.00","1.00","1.00","8.50","1.00",1,1
"10","2.00","1.00","8","8","1.00","1.00","1.50","8.00","1.00",1,1
"11","3.50","6.00","7","8","1.50","2.00","4.75","7.50","1.75",1,1
"12","2.00","2.00","8","8","1.00","1.00","2.00","8.00","1.00",1,1
"13","3.00","1.00","9","9","1.00","1.00","2.00","9.00","1.00",1,1
"14","2.00","1.00","9","9","2.00","1.00","1.50","9.00","1.50",1,1
"15","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"16","1.00","2.00","9","9","1.00","2.00","1.50","9.00","1.50",1,1
"17","1.00","2.50","7","8","1.00","2.00","1.75","7.50","1.50",1,1
"18","5.00","4.50","6","6","4.00","3.00","4.75","6.00","3.50",1,1
"19","2.50","2.50","9","3","1.50","2.00","2.50","6.00","1.75",1,1
"20","7.00","7.00","7","9","6.50","6.50","7.00","8.00","6.50",1,1
"21","1.50","1.50","8","8","1.00","1.00","1.50","8.00","1.00",1,1
"22","1.00","1.00","6","6","1.00","1.00","1.00","6.00","1.00",1,1
"23","1.50","1.00","8","8","1.00","1.00","1.25","8.00","1.00",1,1
"24","1.00","1.00","7","7","1.00","1.00","1.00","7.00","1.00",1,1
"25","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"26","1.00","3.00","9","9","1.00","1.00","2.00","9.00","1.00",1,1
"27","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"28","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"29","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"30","2.00","3.00","9","9","1.00","1.00","2.50","9.00","1.00",1,1
"31","2.50","2.50","9","9","1.00","1.00","2.50","9.00","1.00",1,1
"32","7.50","6.50","7","7","7.50","7.50","7.00","7.00","7.50",1,1
"33","4.50","1.00","9","5","2.00","1.00","2.75","7.00","1.50",1,1
"34","2.00","2.00","8","7","1.00","3.00","2.00","7.50","2.00",1,1
"35","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"36","1.50","1.00","8","8","1.00","1.00","1.25","8.00","1.00",1,1
"37","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"38","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"39","1.00","1.00","9","9","1.00","2.50","1.00","9.00","1.75",1,1
"40","1.50","2.00","9","8","1.00","1.00","1.75","8.50","1.00",1,1
"41","1.50","2.50","9","9","1.50","1.50","2.00","9.00","1.50",1,1
"42","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"43","2.00","1.50","6","6","1.50","1.00","1.75","6.00","1.25",1,1
"44","6.00","4.00","9","9","1.50","4.00","5.00","9.00","2.75",1,1
"45","1.00","1.00","9","9","2.00","2.00","1.00","9.00","2.00",1,1
"46","2.50","2.50","8","9","1.00","2.00","2.50","8.50","1.50",1,1
"47","3.00","2.50","7","7","1.00","1.00","2.75","7.00","1.00",1,1
"48","3.00","3.50","5","3","2.50","2.50","3.25","4.00","2.50",1,1
"49","1.00","2.00","7","5","1.00","1.00","1.50","6.00","1.00",1,1
"50","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"51","1.00","1.00","8","7","1.00","1.00","1.00","7.50","1.00",1,1
"52","1.00","1.00","9","8","1.00","1.00","1.00","8.50","1.00",1,1
"53","1.00","1.00","6","6","1.00","1.00","1.00","6.00","1.00",1,1
"54","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"55","1.50","1.50","9","9","1.00","2.00","1.50","9.00","1.50",1,1
"56","1.00","2.50","9","8","1.00","2.00","1.75","8.50","1.50",1,1
"57","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"58","1.00","1.00","9","7","1.00","4.50","1.00","8.00","2.75",1,1
"59","1.00","1.00","5","6","1.00","1.00","1.00","5.50","1.00",1,1
"60","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"61","1.00","3.00","9","9","1.00","1.00","2.00","9.00","1.00",1,1
"62","2.00","1.50","7","7","2.00","3.00","1.75","7.00","2.50",1,1
"63","4.50","1.50","9","9","1.50","2.00","3.00","9.00","1.75",1,1
"64","1.50","1.00","9","9","1.00","1.50","1.25","9.00","1.25",1,1
"65","1.00","1.50","9","9","1.00","1.00","1.25","9.00","1.00",1,1
"66","1.00","1.00","8","8","2.00","2.00","1.00","8.00","2.00",1,1
"67","4.00","6.00","8","5","1.50","7.00","5.00","6.50","4.25",1,1
"68","2.00","4.00","8","7","1.00","2.50","3.00","7.50","1.75",1,1
"69","6.50","2.00","9","8","1.00","1.00","4.25","8.50","1.00",1,1
"70","3.00","3.00","7","7","3.00","3.00","3.00","7.00","3.00",1,1
"71","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"72","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"73","2.00","1.50","8","9","1.00","1.00","1.75","8.50","1.00",1,1
"74","3.50","1.50","9","9","1.00","1.00","2.50","9.00","1.00",1,1
"75","1.00","3.00","6","7","1.00","1.00","2.00","6.50","1.00",1,1
"76","3.00","1.00","8","6","1.00","1.00","2.00","7.00","1.00",1,1
"77","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"78","4.00","3.00","7","7","2.00","2.00","3.50","7.00","2.00",1,1
"79","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"80","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"81","1.00","5.00","8","8","1.00","1.00","3.00","8.00","1.00",1,1
"82","4.00","3.50","8","8","3.00","3.50","3.75","8.00","3.25",1,1
"83","1.00","1.00","9","9","1.50","1.50","1.00","9.00","1.50",1,1
"84","1.00","1.00","9","9","1.50","1.50","1.00","9.00","1.50",1,1
"85","3.00","5.00","6","5","3.00","6.00","4.00","5.50","4.50",1,1
"86","1.00","1.00","5","9","1.00","1.00","1.00","7.00","1.00",1,1
"87","1.50","1.00","8","8","1.00","1.00","1.25","8.00","1.00",1,1
"88","2.00","2.00","8","8","1.00","1.00","2.00","8.00","1.00",1,1
"89","1.00","2.00","9","8","1.50","3.00","1.50","8.50","2.25",1,1
"90","3.00","3.00","9","9","1.00","1.00","3.00","9.00","1.00",1,1
"91","2.00","2.50","8","9","1.00","1.00","2.25","8.50","1.00",1,1
"92","1.00","2.00","6","9","1.00","1.00","1.50","7.50","1.00",1,1
"93","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"94","1.00","1.00","5","5","1.00","1.00","1.00","5.00","1.00",1,1
"95","2.00","4.50","8","8","1.00","1.00","3.25","8.00","1.00",1,1
"96","2.00","2.00","8","8","1.00","1.00","2.00","8.00","1.00",1,1
"97","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"98","5.50","6.50","8","8","3.50","6.50","6.00","8.00","5.00",1,1
"99","1.00","1.00","5","7","1.00","1.00","1.00","6.00","1.00",1,1
"100","4.50","4.50","7","9","1.00","2.50","4.50","8.00","1.75",1,1
"101","1.00","3.00","9","9","1.00","1.00","2.00","9.00","1.00",1,1
"102","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"103","2.00","1.50","9","9","2.00","2.00","1.75","9.00","2.00",1,1
"104","7.00","5.00","7","7","4.50","4.50","6.00","7.00","4.50",1,1
"105","2.00","2.50","8","8","1.00","1.00","2.25","8.00","1.00",1,1
"106","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"107","1.50","1.50","8","8","1.50","1.50","1.50","8.00","1.50",1,1
"108","2.50","3.00","8","7","2.00","3.00","2.75","7.50","2.50",1,1
"109","4.50","5.50","7","7","5.00","6.50","5.00","7.00","5.75",1,1
"110","5.00","5.50","8","6","1.00","2.00","5.25","7.00","1.50",1,1
"111","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"112","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"113","4.00","1.00","5","6","6.00","3.50","2.50","5.50","4.75",1,1
"114","4.50","5.50","5","4","5.00","5.00","5.00","4.50","5.00",1,1
"115","1.00","1.50","9","9","1.00","1.00","1.25","9.00","1.00",1,1
"116","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"117","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"118","2.00","1.00","9","9","1.00","1.00","1.50","9.00","1.00",1,1
"119","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"120","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"121","2.00","2.00","9","9","4.00","4.50","2.00","9.00","4.25",1,1
"122","6.50","4.50","6","7","3.50","1.50","5.50","6.50","2.50",1,1
"123","5.00","4.50","5","4","5.50","7.00","4.75","4.50","6.25",1,1
"124","1.00","1.50","8","5","1.00","1.00","1.25","6.50","1.00",1,1
"125","2.50","1.00","8","5","1.00","1.00","1.75","6.50","1.00",1,1
"126","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"127","4.00","4.50","6","7","3.50","3.00","4.25","6.50","3.25",1,1
"128","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"129","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"130","3.50","1.00","7","8","2.00","1.00","2.25","7.50","1.50",1,1
"131","2.50","2.50","7","7","2.00","2.00","2.50","7.00","2.00",1,1
"132","1.00","1.00","8","8","1.00","1.00","1.00","8.00","1.00",1,1
"133","3.50","3.50","9","9","1.00","1.00","3.50","9.00","1.00",1,1
"134","2.00","3.00","8","8","1.00","1.00","2.50","8.00","1.00",1,1
"135","1.00","1.00","8","9","1.00","1.00","1.00","8.50","1.00",1,1
"136","1.50","1.50","9","9","1.00","1.00","1.50","9.00","1.00",1,1
"137","1.00","1.50","8","8","1.00","1.00","1.25","8.00","1.00",1,1
"138","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"139","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"140","1.00","1.00","8","9","1.00","1.00","1.00","8.50","1.00",1,1
"141","4.00","1.00","6","8","1.00","1.00","2.50","7.00","1.00",1,1
"142","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"143","3.00","3.00","5","9","1.00","1.00","3.00","7.00","1.00",1,1
"144","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"145","2.50","2.00","7","8","2.00","2.00","2.25","7.50","2.00",1,1
"146","3.50","3.00","9","9","2.00","1.50","3.25","9.00","1.75",1,1
"147","5.50","4.50","6","6","2.00","2.00","5.00","6.00","2.00",1,1
"148","1.50","2.00","7","7","1.00","1.00","1.75","7.00","1.00",1,1
"149","1.00","1.00","8","8","1.00","1.00","1.00","8.00","1.00",1,1
"150","1.50","5.00","9","5","1.00","1.00","3.25","7.00","1.00",1,1
"151","2.50","2.50","6","7","2.00","3.00","2.50","6.50","2.50",1,1
"152","1.00","1.00","8","8","1.00","1.00","1.00","8.00","1.00",1,1
"153","2.50","4.00","8","7","2.50","3.50","3.25","7.50","3.00",1,1
"154","1.50","1.50","9","9","1.00","1.00","1.50","9.00","1.00",1,1
"155","1.50","1.00","9","9","1.00","1.00","1.25","9.00","1.00",1,1
"156","1.00","1.00","9","5","1.00","1.00","1.00","7.00","1.00",1,1
"157","1.00","1.00","9","9","1.00","1.00","1.00","9.00","1.00",1,1
"158","3.00","4.50","7","6","1.00","4.50","3.75","6.50","2.75",1,1
"159","1.50","1.00","9","9","1.00","1.00","1.25","9.00","1.00",1,1
"160","1.50","1.00","9","9","1.00","1.00","1.25","9.00","1.00",1,1
"161","1.00","2.00","9","7","1.00","1.00","1.50","8.00","1.00",1,1
"162","3.00","#NULL!","8","#NULL!","1.00","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"163","1.00","#NULL!","8","#NULL!","1.00","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"164","4.50","#NULL!","6","#NULL!","3.50","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"165","4.00","#NULL!","7","#NULL!","1.00","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"166","1.00","#NULL!","9","#NULL!","1.00","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"167","1.00","#NULL!","9","#NULL!","1.00","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"168","1.00","#NULL!","9","#NULL!","1.00","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"169","4.50","#NULL!","6","#NULL!","4.00","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"170","1.00","#NULL!","9","#NULL!","1.00","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"171","1.00","#NULL!","9","#NULL!","1.50","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"172","1.00","#NULL!","9","#NULL!","1.00","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"173","2.50","#NULL!","7","#NULL!","3.00","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"174","2.50","#NULL!","6","#NULL!","1.00","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"175","1.00","#NULL!","9","#NULL!","1.00","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"176","1.00","#NULL!","8","#NULL!","1.00","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"177","2.50","#NULL!","7","#NULL!","2.50","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"178","1.00","#NULL!","9","#NULL!","1.00","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"179","1.00","#NULL!","9","#NULL!","2.00","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"180","1.00","#NULL!","5","#NULL!","1.00","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"181","8.00","#NULL!","9","#NULL!","7.50","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"182","1.00","#NULL!","9","#NULL!","1.00","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"183","1.00","#NULL!","7","#NULL!","1.00","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"184","1.00","#NULL!","9","#NULL!","1.00","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"185","1.00","#NULL!","5","#NULL!","3.00","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"186","#NULL!","5.50","#NULL!","5","#NULL!","5.50","#NULL!","#NULL!","#NULL!",1,1
"187","#NULL!","4.50","#NULL!","7","#NULL!","6.00","#NULL!","#NULL!","#NULL!",1,1
"188","#NULL!","6.00","#NULL!","4","#NULL!","5.50","#NULL!","#NULL!","#NULL!",1,1
"189","#NULL!","1.50","#NULL!","8","#NULL!","1.00","#NULL!","#NULL!","#NULL!",1,1
"190","#NULL!","1.50","#NULL!","9","#NULL!","1.00","#NULL!","#NULL!","#NULL!",1,1
"191","#NULL!","5.50","#NULL!","7","#NULL!","4.00","#NULL!","#NULL!","#NULL!",1,1
"192","#NULL!","1.00","#NULL!","9","#NULL!","1.00","#NULL!","#NULL!","#NULL!",1,1
"193","#NULL!","2.00","#NULL!","8","#NULL!","2.00","#NULL!","#NULL!","#NULL!",1,1
"194","#NULL!","1.50","#NULL!","8","#NULL!","1.00","#NULL!","#NULL!","#NULL!",1,1
"195","#NULL!","1.00","#NULL!","9","#NULL!","1.00","#NULL!","#NULL!","#NULL!",1,1
"196","#NULL!","9.00","#NULL!","1","#NULL!","6.50","#NULL!","#NULL!","#NULL!",1,1
"197","#NULL!","2.00","#NULL!","5","#NULL!","4.00","#NULL!","#NULL!","#NULL!",1,1
"198","#NULL!","3.00","#NULL!","9","#NULL!","1.00","#NULL!","#NULL!","#NULL!",1,1
"199","#NULL!","1.00","#NULL!","8","#NULL!","1.00","#NULL!","#NULL!","#NULL!",1,1
"200","#NULL!","2.00","#NULL!","5","#NULL!","1.00","#NULL!","#NULL!","#NULL!",1,1
"201","#NULL!","1.00","#NULL!","9","#NULL!","1.00","#NULL!","#NULL!","#NULL!",1,1
"202","#NULL!","5.50","#NULL!","5","#NULL!","7.00","#NULL!","#NULL!","#NULL!",1,1
"203","#NULL!","2.00","#NULL!","9","#NULL!","1.00","#NULL!","#NULL!","#NULL!",1,1
"204","#NULL!","1.00","#NULL!","5","#NULL!","1.00","#NULL!","#NULL!","#NULL!",1,1
"205","#NULL!","1.00","#NULL!","8","#NULL!","1.00","#NULL!","#NULL!","#NULL!",1,1
"206","#NULL!","6.00","#NULL!","6","#NULL!","4.50","#NULL!","#NULL!","#NULL!",1,1
"207","#NULL!","1.00","#NULL!","9","#NULL!","1.00","#NULL!","#NULL!","#NULL!",1,1
"208","#NULL!","1.50","#NULL!","8","#NULL!","1.50","#NULL!","#NULL!","#NULL!",1,1
"209","#NULL!","2.00","#NULL!","7","#NULL!","3.00","#NULL!","#NULL!","#NULL!",1,1
"210","#NULL!","1.00","#NULL!","9","#NULL!","1.00","#NULL!","#NULL!","#NULL!",1,1
"211","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"212","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"213","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"214","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"215","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"216","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"217","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"218","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"219","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"220","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"221","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"222","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"223","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"224","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"225","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"226","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"227","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"228","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"229","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"230","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"231","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"232","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"233","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"234","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"235","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"236","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"237","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"238","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"239","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"240","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"241","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"242","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"243","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"244","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"245","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"246","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"247","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
"248","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!","#NULL!",1,1
